Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating
H&M,USA,2015,422.41,27.05,26,17793.11,160.98,664.46,73.94,69,1,32.13,107.39,16,8667,7887,0.71,Negative,443.64,0.74,58.91,27.73,91.03,0.23
H&M,UK,2022,463.24,15.58,9,12952.97,187.16,790.11,183.74,52,2,22.05,105.71,15,1489,3451,-0.91,Positive,619.46,0.45,3.67,95.73,82.62,4.0
Forever 21,Vietnam,2019,312.62,22.86,14,8879.8,129.59,959.18,202.43,63,2,32.44,116.01,5,9279,7758,0.78,Positive,725.14,0.96,86.21,80.95,65.52,2.75
Shein,China,2017,473.46,16.01,20,10136.78,162.14,981.5,151.79,42,0,30.34,70.82,8,4411,7364,0.74,Negative,592.51,0.32,15.73,16.04,33.4,1.19
Forever 21,Indonesia,2023,360.76,22.97,10,8889.03,149.99,662.09,174.75,43,2,15.79,112.55,11,2164,4505,-0.48,Neutral,381.02,0.67,54.0,77.98,10.7,3.81
Zara,Vietnam,2021,580.7,20.24,20,10526.64,224.51,762.73,129.77,56,2,11.74,180.61,14,5226,78,-0.96,Neutral,352.03,0.39,48.86,77.04,68.33,2.23
Forever 21,Brazil,2024,282.8,9.01,12,13895.98,206.46,966.82,125.26,54,2,38.53,113.33,17,4279,7991,0.52,Negative,270.61,0.5,31.2,32.07,72.44,3.73
Forever 21,USA,2023,553.06,18.56,29,12851.51,179.42,901.1,148.55,53,0,12.73,115.24,9,1059,6109,-0.93,Positive,262.67,0.93,61.67,79.65,48.15,0.59
Forever 21,Indonesia,2016,556.25,16.21,9,5539.69,218.99,888.93,100.23,60,0,33.93,106.61,10,8565,2063,-0.22,Neutral,122.09,0.53,60.0,29.17,69.5,4.3
Uniqlo,India,2017,354.95,19.76,22,10488.29,145.29,797.19,130.84,67,2,19.79,93.71,15,2049,6782,-0.84,Positive,507.53,0.46,13.27,56.75,68.95,4.0
Forever 21,Brazil,2015,425.98,17.78,22,10631.7,252.82,1095.17,226.18,48,3,20.18,123.44,5,7394,4954,-0.67,Positive,690.03,0.49,72.48,59.33,65.03,2.4
H&M,UK,2019,266.36,25.27,19,6905.27,168.24,923.74,206.47,58,0,10.63,80.66,11,9374,7860,-0.84,Negative,739.69,0.46,22.06,41.84,20.36,4.2
Uniqlo,Turkey,2018,669.69,18.63,10,6322.7,112.14,844.89,202.35,43,0,21.87,165.29,6,1494,4331,0.82,Neutral,828.1,0.29,62.3,63.16,73.31,0.66
Uniqlo,Brazil,2015,574.1,21.3,28,5843.24,286.66,278.03,168.93,45,1,36.12,143.15,4,3914,4983,0.3,Negative,-69.71,0.38,39.9,85.8,0.9,2.94
Forever 21,Vietnam,2020,257.23,27.73,28,5332.3,183.66,380.97,162.71,69,0,23.48,137.63,13,6152,2784,0.33,Neutral,523.03,0.53,84.42,80.57,58.54,4.34
H&M,Germany,2021,461.14,19.02,23,6287.98,237.75,838.19,105.27,51,0,39.6,124.18,9,5442,7401,0.03,Negative,590.51,0.54,66.69,13.97,3.0,1.54
Forever 21,Bangladesh,2018,359.23,23.22,28,8816.73,174.36,655.84,174.19,45,1,30.78,119.07,19,7805,3769,0.73,Negative,900.68,0.79,11.31,79.55,91.87,3.0
H&M,Turkey,2018,625.88,29.08,7,9807.58,219.73,864.27,171.1,52,0,13.27,156.7,6,9929,4164,0.62,Neutral,638.85,0.79,79.78,43.56,81.78,0.6
Uniqlo,India,2016,474.04,20.08,20,14014.35,295.18,396.09,203.57,68,1,21.2,169.26,12,9253,3039,0.0,Neutral,701.96,0.59,95.15,84.72,91.42,4.07
H&M,Turkey,2023,255.4,20.85,9,14152.82,233.83,918.95,192.67,66,2,36.9,84.4,6,240,4615,-0.61,Negative,806.15,0.25,61.74,52.31,67.01,4.65
Zara,Brazil,2024,868.37,24.89,15,14543.55,246.38,679.34,70.66,64,1,35.78,103.79,19,8205,494,-0.49,Positive,602.71,0.97,48.35,80.6,55.02,0.22
Uniqlo,Bangladesh,2016,570.79,20.7,28,10742.49,335.03,1065.05,171.1,54,1,35.2,111.74,7,5799,4195,0.46,Negative,650.28,0.87,67.14,80.95,76.67,0.75
Uniqlo,China,2020,328.68,18.75,22,11901.33,224.83,762.94,143.51,55,0,16.91,136.76,11,1200,6702,-0.88,Positive,262.01,0.23,27.45,59.7,67.58,2.21
Shein,Turkey,2023,756.28,17.94,16,10908.06,167.95,475.39,178.17,53,0,29.36,71.05,3,5289,2522,0.23,Positive,816.19,0.5,83.19,66.96,6.99,3.2
Uniqlo,Brazil,2019,594.69,12.22,8,4018.79,222.44,1045.53,89.52,62,1,39.86,61.47,14,3474,1066,-0.66,Positive,374.21,0.47,42.27,82.18,0.12,1.5
Zara,Brazil,2016,497.0,21.92,18,7740.11,247.36,670.27,163.67,61,0,32.66,124.01,8,9815,2835,-0.87,Positive,469.51,0.21,22.74,34.17,38.09,1.73
Shein,Germany,2020,509.0,11.95,8,6689.9,70.83,877.72,274.65,42,2,21.73,44.55,8,8885,5598,-0.24,Neutral,505.64,0.89,86.81,80.59,79.0,1.52
Zara,Turkey,2015,473.76,16.22,7,8697.67,167.37,817.46,177.33,49,1,35.86,119.25,16,5017,287,-0.65,Negative,663.55,0.55,39.87,14.64,36.75,0.34
Uniqlo,UK,2023,508.5,22.65,18,12177.3,172.46,468.71,212.82,58,1,16.35,169.18,17,8748,5128,-0.52,Neutral,480.14,0.23,12.14,30.33,10.1,3.46
Shein,Germany,2023,502.35,16.36,12,7800.98,155.4,681.43,124.63,43,1,13.92,116.14,5,1649,6648,0.47,Positive,697.87,0.79,1.1,41.62,48.13,0.1
Zara,UK,2016,629.47,16.02,29,5563.27,211.0,796.94,178.96,42,0,29.38,67.72,6,8837,5733,-0.51,Negative,499.01,0.69,81.07,61.41,85.96,1.96
Uniqlo,Turkey,2018,543.72,16.35,14,8183.15,309.56,935.59,125.6,65,0,33.44,119.45,10,6969,2297,-0.55,Neutral,762.36,0.9,45.06,88.25,10.57,4.94
Shein,China,2020,409.35,19.62,13,10710.88,172.71,639.5,214.94,53,4,22.36,157.66,10,5539,6331,-0.96,Negative,537.68,0.17,96.79,29.54,76.92,3.12
Forever 21,Brazil,2018,312.11,17.49,22,7415.85,147.17,992.44,147.36,49,1,39.4,163.67,18,9603,3409,0.31,Neutral,859.85,0.22,33.83,92.81,22.46,1.86
Zara,Indonesia,2021,239.34,10.26,23,9336.24,183.39,861.48,190.79,42,1,36.38,129.07,15,7265,2758,0.96,Negative,168.15,0.77,55.78,18.06,5.39,1.6
H&M,Turkey,2021,375.73,24.55,18,9716.88,194.85,962.54,178.9,54,2,26.27,127.22,9,6351,7584,0.75,Positive,1020.34,0.49,16.08,55.8,81.18,3.71
H&M,Bangladesh,2021,446.7,23.05,8,13863.95,174.63,852.13,79.97,53,1,20.66,128.34,12,2749,363,-0.93,Negative,790.96,0.77,20.25,95.81,36.79,1.63
Shein,India,2017,431.87,15.9,29,6786.24,200.35,1112.75,87.49,49,2,22.38,74.23,15,2663,3342,0.28,Neutral,752.52,0.16,58.0,56.15,56.07,3.02
H&M,Indonesia,2018,653.61,22.96,24,7545.4,199.8,765.96,127.34,69,1,34.75,50.88,19,9498,2578,-0.82,Neutral,573.92,0.3,59.82,73.57,99.83,4.67
Forever 21,UK,2021,346.37,29.27,9,6016.85,199.05,970.02,193.79,65,1,20.87,124.23,15,2710,6950,-0.89,Positive,146.31,0.87,22.55,37.69,46.17,2.4
Uniqlo,Bangladesh,2020,604.08,19.49,9,9917.46,306.34,1132.25,127.15,45,0,16.76,111.77,6,6968,7119,-0.43,Negative,300.14,0.14,3.63,27.57,27.56,3.94
Uniqlo,Indonesia,2018,490.02,21.23,15,8559.39,242.85,834.78,141.54,50,0,37.19,123.05,3,9714,6147,0.46,Negative,273.79,0.59,12.8,88.21,39.34,4.14
Zara,UK,2015,581.37,26.27,10,6668.8,234.02,533.37,270.74,64,2,10.66,101.78,9,697,3112,0.09,Negative,825.86,0.98,22.74,40.4,54.25,3.96
H&M,Bangladesh,2017,826.06,24.7,19,6783.58,24.72,887.31,195.2,41,2,18.72,110.93,12,710,1777,0.59,Neutral,544.7,0.55,33.98,87.21,54.48,3.79
Forever 21,India,2016,553.64,15.81,25,8918.58,230.68,863.49,148.4,65,1,12.82,81.51,12,9303,2324,-0.79,Neutral,315.63,0.69,82.21,38.04,77.56,4.82
H&M,Vietnam,2022,516.99,12.81,29,13811.89,157.56,611.32,93.8,48,1,25.99,134.54,14,2922,4993,0.71,Neutral,330.73,0.92,27.69,98.35,14.07,1.01
Zara,Brazil,2019,356.73,22.12,9,7421.98,268.54,798.18,165.16,60,2,36.46,84.33,7,9852,6324,0.05,Positive,448.95,0.75,89.03,7.94,73.15,0.94
Zara,Vietnam,2024,540.65,21.52,23,10857.95,174.27,534.41,204.16,63,2,15.21,145.22,3,9272,1748,-0.72,Neutral,609.35,0.41,45.04,74.88,65.11,3.1
Forever 21,UK,2021,649.75,17.84,16,8568.99,239.99,736.49,116.23,63,0,15.25,107.94,10,3930,904,-0.85,Neutral,604.85,0.41,86.64,21.55,36.04,0.34
Shein,UK,2021,424.53,27.22,25,12170.83,240.05,557.58,191.71,40,1,15.07,73.17,16,2759,4646,0.09,Neutral,214.39,0.44,97.68,11.07,42.25,0.21
Forever 21,UK,2021,549.8,20.95,28,11164.73,158.21,968.68,174.76,52,2,34.88,139.78,16,9435,983,-0.76,Neutral,422.7,0.16,26.33,4.61,56.72,1.42
H&M,India,2015,611.81,15.57,14,11284.94,253.95,980.49,160.72,62,2,22.88,145.57,7,9591,3990,0.2,Neutral,363.1,0.2,9.39,90.96,66.92,4.15
Shein,UK,2019,528.44,25.01,18,8446.26,214.46,784.84,193.78,54,2,28.21,156.65,6,1946,1528,-0.74,Positive,849.92,0.31,78.68,97.08,26.27,1.36
Uniqlo,India,2019,552.98,19.9,13,8132.05,211.68,651.51,84.0,51,2,24.09,77.55,5,8433,5460,-0.11,Positive,-18.63,0.53,59.09,53.7,85.41,0.25
Shein,Germany,2023,544.69,21.44,6,13253.44,165.35,896.03,286.54,50,0,18.33,102.58,19,955,1862,-0.31,Neutral,670.74,0.56,87.42,49.35,70.23,4.96
Uniqlo,India,2022,440.13,16.74,6,14441.7,157.44,868.77,188.44,52,1,34.71,124.35,4,5543,1039,0.6,Positive,377.05,0.7,9.23,59.63,54.96,4.5
H&M,Brazil,2020,248.83,15.52,14,10505.96,226.52,581.92,220.55,50,1,14.17,133.55,4,1728,5847,0.66,Negative,285.02,0.99,82.0,69.49,53.25,2.24
Forever 21,Germany,2016,472.08,16.16,10,10479.57,138.34,1053.14,106.69,64,0,21.62,111.12,15,8666,2170,-0.39,Negative,716.72,0.81,44.64,79.84,82.24,4.29
Forever 21,Indonesia,2016,479.85,24.05,13,9182.72,195.51,915.37,30.41,41,0,22.92,91.07,12,7711,963,0.27,Positive,413.97,0.41,7.17,40.96,31.12,3.39
Forever 21,Brazil,2020,255.67,26.36,25,14543.91,322.14,805.59,170.91,52,1,10.93,87.06,8,6368,960,-0.02,Positive,427.64,0.22,83.55,37.04,37.48,2.37
Shein,India,2018,518.86,19.93,14,9678.09,226.86,485.82,93.66,43,2,15.05,139.69,5,9669,1489,0.42,Negative,401.85,0.26,50.74,67.74,23.5,4.15
Shein,Brazil,2024,313.76,20.83,29,8434.29,233.89,942.07,192.76,57,1,28.62,106.56,7,8948,2710,0.09,Negative,244.83,0.3,96.4,90.95,72.21,2.67
Zara,Bangladesh,2015,445.74,21.4,22,8915.06,318.07,803.76,182.69,51,2,21.26,92.83,17,2046,4860,0.84,Positive,369.25,0.43,72.57,89.45,45.6,2.22
H&M,USA,2021,727.63,28.48,12,13497.42,187.73,772.95,200.18,52,1,32.02,187.19,18,1327,6387,-0.33,Negative,592.01,0.76,52.86,79.34,99.05,1.0
Zara,India,2022,681.39,12.8,20,11264.14,164.37,939.42,209.12,40,2,24.63,115.11,8,1198,3476,0.1,Positive,351.02,0.67,57.7,69.78,0.61,0.5
Uniqlo,Vietnam,2020,558.59,23.96,22,14365.06,200.19,764.16,154.13,41,2,35.9,72.22,9,1688,3928,-0.55,Positive,348.49,0.68,97.9,60.35,35.78,3.24
Uniqlo,China,2020,47.07,20.92,15,10657.7,277.36,885.06,260.94,57,3,25.61,131.77,14,6146,4095,0.76,Positive,398.21,0.84,72.17,27.15,40.24,0.51
Shein,Germany,2020,584.05,16.92,23,12865.29,138.03,628.31,206.28,50,1,26.95,126.23,17,9110,2238,-0.16,Neutral,711.99,0.44,93.63,67.51,11.6,0.21
Zara,Vietnam,2020,610.71,20.55,29,7472.8,224.63,910.02,132.0,44,4,13.16,138.47,12,1224,5671,0.91,Neutral,740.78,0.55,43.27,45.77,20.89,1.84
H&M,Brazil,2024,423.78,19.26,14,10659.75,120.43,1124.32,118.92,48,1,36.4,140.11,15,1872,211,-0.21,Positive,285.63,0.94,12.57,73.71,97.46,0.26
Shein,Vietnam,2016,448.49,29.82,6,9014.14,236.19,691.18,141.86,61,2,30.64,128.75,4,8116,7061,0.9,Negative,463.36,0.13,73.62,33.02,90.61,1.33
H&M,Germany,2017,592.55,21.84,11,9193.02,293.91,626.83,114.04,67,1,10.51,140.19,4,4163,5905,-0.41,Positive,618.36,0.8,51.8,34.81,37.17,0.01
H&M,USA,2015,648.3,13.24,12,11067.38,246.11,1052.39,158.99,62,1,21.94,108.13,11,2304,2707,0.21,Negative,464.08,0.53,5.97,67.16,58.22,4.95
Forever 21,USA,2019,528.17,12.03,25,11611.27,203.1,758.85,117.5,66,3,19.45,147.1,13,8782,1122,0.89,Neutral,512.12,0.4,72.5,53.88,6.06,3.45
Shein,China,2015,567.44,20.99,25,7494.57,325.37,478.47,159.24,68,5,15.41,188.67,8,1216,2617,-0.58,Negative,188.65,0.14,84.36,98.12,79.31,4.27
Zara,Brazil,2017,507.19,21.66,16,12469.69,195.17,698.87,121.37,57,1,33.78,120.8,4,1029,5416,-0.21,Neutral,614.42,0.87,77.31,31.0,23.2,2.29
Uniqlo,India,2024,584.35,22.09,17,11855.47,187.55,925.73,86.53,63,1,25.44,101.77,5,4047,1726,-1.0,Neutral,652.15,0.91,15.38,99.01,95.48,2.47
Uniqlo,Turkey,2021,64.77,30.0,8,14258.81,163.97,426.69,200.38,57,2,22.47,95.88,3,5620,7495,0.73,Positive,649.22,0.35,95.05,58.16,43.66,2.9
Zara,USA,2018,742.58,20.52,24,9346.14,133.36,1084.05,123.26,62,1,16.14,82.43,18,714,5727,-0.59,Positive,572.73,0.16,6.9,94.08,50.69,2.05
Zara,Turkey,2017,565.51,22.02,9,13111.14,244.44,609.56,171.13,64,1,18.7,114.98,11,924,7726,-0.17,Neutral,633.23,0.57,5.46,97.31,22.61,1.52
Zara,Indonesia,2023,345.51,16.25,24,13320.97,145.56,583.24,240.67,52,1,19.76,145.91,16,7452,7599,-0.33,Positive,615.93,1.0,40.58,22.05,76.25,2.71
H&M,Turkey,2021,446.98,14.81,28,15406.49,222.99,896.06,121.53,48,0,28.85,52.78,18,6679,5280,0.43,Positive,441.24,0.78,10.25,51.39,50.89,1.85
Shein,Indonesia,2018,662.29,24.98,11,10690.21,229.86,933.18,171.08,56,0,11.56,108.95,5,3508,7792,0.53,Positive,408.05,0.7,43.53,54.93,31.2,2.41
Forever 21,Vietnam,2023,134.74,20.72,9,9118.1,195.7,496.43,132.15,66,1,26.03,50.01,7,6526,3457,0.73,Positive,769.95,0.26,80.0,55.27,39.66,0.66
Uniqlo,Brazil,2019,332.43,14.94,29,10019.44,281.17,758.97,126.48,62,3,30.22,122.09,13,239,1474,0.87,Negative,372.05,0.49,87.8,60.55,24.71,1.78
Zara,USA,2020,463.12,16.93,27,8703.29,190.2,908.21,142.33,52,2,33.43,134.2,12,4556,4714,-0.98,Neutral,767.13,0.51,97.71,10.31,54.78,4.89
Uniqlo,Turkey,2019,299.34,21.2,25,4461.44,144.23,500.69,117.5,49,2,26.49,95.48,9,1618,6423,-0.86,Negative,587.13,0.49,69.58,45.8,9.21,2.77
Zara,Brazil,2019,706.18,24.78,11,12434.19,131.1,963.76,226.9,48,1,10.06,184.66,18,1371,1863,0.25,Negative,304.49,0.44,5.05,62.75,38.56,4.68
Uniqlo,USA,2015,605.2,20.33,15,13373.06,179.96,912.92,99.02,55,1,32.28,141.84,17,3776,2476,0.45,Positive,435.44,0.11,58.95,61.33,63.77,1.21
Zara,Bangladesh,2024,424.55,21.32,22,7080.65,87.35,892.07,82.52,55,0,38.54,132.24,6,7710,2416,0.09,Neutral,590.51,0.28,61.68,74.29,73.79,2.61
Forever 21,China,2020,472.24,16.9,14,11792.96,164.85,970.68,130.56,40,3,28.91,144.92,10,5838,5718,0.57,Positive,296.54,0.48,50.01,78.51,59.88,1.01
H&M,Turkey,2022,250.31,28.13,16,12379.51,199.01,850.41,131.19,53,0,22.26,164.63,9,2768,6496,0.37,Positive,517.06,0.2,28.92,30.98,25.0,2.58
Forever 21,Vietnam,2017,178.28,22.66,25,10332.05,207.54,923.14,121.74,44,0,20.63,141.23,3,7124,1286,0.81,Neutral,501.81,0.17,82.89,34.89,52.16,3.97
Zara,Turkey,2020,451.36,24.01,21,8831.8,295.45,579.4,167.95,44,1,21.54,37.17,10,696,4595,0.06,Negative,416.66,0.81,29.68,54.14,34.52,2.07
Uniqlo,Brazil,2021,585.89,21.74,15,13356.64,310.04,749.03,133.12,50,0,11.73,78.67,17,3553,4557,0.14,Neutral,387.05,0.99,41.47,75.39,87.15,3.39
H&M,Turkey,2018,723.46,17.41,23,11590.57,82.49,728.23,152.83,54,0,28.17,109.93,19,5488,1398,0.53,Neutral,342.11,0.71,77.3,95.14,77.65,3.06
H&M,Turkey,2021,562.83,24.32,8,16085.89,257.51,580.72,191.91,64,3,36.23,109.64,11,817,3534,-0.63,Negative,445.02,0.87,88.26,46.63,7.57,1.94
Uniqlo,UK,2015,458.64,24.7,13,8179.9,212.68,1040.02,125.4,54,0,38.28,117.99,5,8497,6001,0.22,Neutral,385.73,0.74,37.45,36.95,4.53,1.75
